filename,scene_graph,knowledge_base
05nBEvh,tie near neck . tie on man . hand of man . man has hand . man has neck . man has hair . man has face . man wearing tie . man wearing shirt . man wearing jacket ,"clothing item, traditionally worn by boys and men with dress shirt. extremity at the end of an arm or forelimb. part of the body, on many terrestrial or secondarily aquatic vertebrates, that distinguishes the head from the torso or trunk. male adult human. protein filament that grows from follicles found in the dermis, or skin. garment for the upper body. part of the body at the front of the head. extremity at the end of an arm or forelimb. clothing for the upper body. 45th president of the United States (2017–2021)"
0bOKK62,girl has arm . girl has hair . girl has hand . girl has face . girl has head . girl wearing jacket . arm of girl . hair on head . hand of girl . face of girl . head of girl ,"vertical structure, usually solid, that defines and sometimes protects an area. vertical structure, usually solid, that defines and sometimes protects an area. young female human. vertical structure, usually solid, that defines and sometimes protects an area. forearm and upper arm together. cushion for the head. protein filament that grows from follicles found in the dermis, or skin. extremity at the end of an arm or forelimb. part of the body at the front of the head. vertical structure, usually solid, that defines and sometimes protects an area. clothing for the upper body. walking surface of a room. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. American politician"
0EwB4LT,man has head . letter on sign . head of man ,"organ that detects light and converts it into electro-chemical impulses in neurons. part of the body at the front of the head. male adult human. organ that detects light and converts it into electro-chemical impulses in neurons. organ that detects light and converts it into electro-chemical impulses in neurons. part of the body at the front of the head. organ that detects light and converts it into electro-chemical impulses in neurons. part of the body at the front of the head. grapheme in an alphabetic system of writing. part of the body at the front of the head. being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans). anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans). organ that detects light and converts it into electro-chemical impulses in neurons"
0JM56ut,man has nose . man has face . man has eye . man has mouth . man has hair . man wearing shirt . nose of man . face of man . eye of man . mouth of man ,"male adult human. garment for the upper body. acoustic-to-electric transducer or sensor that converts sound into an electrical signal. organ that smells and facilitates breathing. part of the body at the front of the head. organ that detects light and converts it into electro-chemical impulses in neurons. first portion of the alimentary canal that receives food. protein filament that grows from follicles found in the dermis, or skin. garment for the upper body. American rock musician"
0Jzts4J,line. arrow. letter,one-dimensional infinite geometric object. grapheme in an alphabetic system of writing
0N5ZKcH,man has arm . man has hand . man has head . man has face . man has eye . man has finger . man has ear . man has nose . man has hair . man has mouth . man has neck . arm of man . hand of man . head of man . face of man . eye of man . finger of man . ear of man . nose of man . hair on head . mouth of man . finger on hand . neck of man ,"male adult human. forearm and upper arm together. extremity at the end of an arm or forelimb. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. part of the body at the front of the head. organ that detects light and converts it into electro-chemical impulses in neurons. one of usually five articulated digits at the end of the tetrapod hand. organ that detects sound; organ of hearing and balanc. organ that smells and facilitates breathing. protein filament that grows from follicles found in the dermis, or skin. first portion of the alimentary canal that receives food. one of usually five articulated digits at the end of the tetrapod hand. one of usually five articulated digits at the end of the tetrapod hand. part of the body, on many terrestrial or secondarily aquatic vertebrates, that distinguishes the head from the torso or trunk. forearm and upper arm together. American actor"
0nF9BpI,sign behind man . face of woman . plant behind man . man has hair . man wearing tie . man wearing jacket . man wearing shirt . woman has face . woman has hair . woman wearing shirt . shirt under jacket ,"clothing item, traditionally worn by boys and men with dress shirt. clothing for the upper body. protein filament that grows from follicles found in the dermis, or skin. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. part of the body at the front of the head. multicellular eukaryote of the kingdom Plantae. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. male adult human. clothing item, traditionally worn by boys and men with dress shirt. male adult human. female adult human. protein filament that grows from follicles found in the dermis, or skin. protein filament that grows from follicles found in the dermis, or skin. garment for the upper body. garment for the upper body. garment for the upper body. First Lady of the United States (1981 – 1989) Wife of the 40th President of the United States, Ronald Reagan (1921 – 2016)"
0SvkQMd,glass on man . glass on face . nose of man . nose on face . mouth of woman . head of woman . man has nose . man has hair . man has face . man wearing glass . woman has mouth . woman has head . woman has neck . woman has hair . woman wearing shirt . face of man ,"amorphous solid that exhibits a glass transition when heated towards the liquid state. organ that smells and facilitates breathing. first portion of the alimentary canal that receives food. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. grapheme in an alphabetic system of writing. part of the body, on many terrestrial or secondarily aquatic vertebrates, that distinguishes the head from the torso or trunk. protein filament that grows from follicles found in the dermis, or skin. male adult human. protein filament that grows from follicles found in the dermis, or skin. female adult human. part of the body at the front of the head. American politician. American politician"
0Te3Qys,meme text,
0UQh5Eo,letter. number. sign,"grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. mathematical object used to count, label, and measure. grapheme in an alphabetic system of writing. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. grapheme in an alphabetic system of writing"
0vqvDs5,man,male adult human
0WBXRH9,television. hair. face. TV,"protein filament that grows from follicles found in the dermis, or skin. part of the body at the front of the head. part of the body at the front of the head. part of the body at the front of the head. part of the body at the front of the head. part of the body at the front of the head. part of the body at the front of the head. part of the body at the front of the head. vacuum tube that can show moving pictures, vector graphics, or lines. vacuum tube that can show moving pictures, vector graphics, or lines. vacuum tube that can show moving pictures, vector graphics, or lines. vacuum tube that can show moving pictures, vector graphics, or lines"
12XLnzK,tie near neck . tie on man . mouth of man . nose of man . man has mouth . man has hair . man has nose . man wearing tie . man wearing shirt ,"clothing item, traditionally worn by boys and men with dress shirt. first portion of the alimentary canal that receives food. organ that smells and facilitates breathing. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. part of the body, on many terrestrial or secondarily aquatic vertebrates, that distinguishes the head from the torso or trunk. first portion of the alimentary canal that receives food. protein filament that grows from follicles found in the dermis, or skin. clothing item, traditionally worn by boys and men with dress shirt. male adult human. garment for the upper body. organ that smells and facilitates breathing. protein filament that grows from follicles found in the dermis, or skin. part of the body at the front of the head. garment for the upper body. American writer, actor and filmmaker. 45th president of the United States (2017–2021)"
16vTnwg,woman has head . woman has hair ,"semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. female adult human. female adult human. male adult human. male adult human. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. protein filament that grows from follicles found in the dermis, or skin. male adult human. protein filament that grows from follicles found in the dermis, or skin. protein filament that grows from follicles found in the dermis, or skin. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing"
1BeUIMs,letter. eye. sign. product label,"grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. organ that detects light and converts it into electro-chemical impulses in neurons. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing"
