filename,scene_graph
05nBEvh,0-tie near 11-neck . 0-tie near 7-neck . 0-tie on 1-man . 10-hand of 1-man . 1-man has 10-hand . 1-man has 11-neck . 1-man has 2-hair . 1-man has 4-face . 1-man has 5-hand . 1-man has 7-neck . 1-man wearing 0-tie . 1-man wearing 3-shirt . 1-man wearing 6-glass . 1-man wearing 8-jacket . 5-hand of 1-man . 6-glass on 1-man . 6-glass on 4-face . 9-woman behind 1-man . 9-woman has 2-hair . 9-woman wearing 0-tie . 9-woman wearing 6-glass 
0bOKK62,11-girl has 13-arm . 11-girl has 3-hair . 11-girl has 4-hand . 11-girl has 5-face . 11-girl has 9-head . 11-girl wearing 14-glass . 11-girl wearing 7-jacket . 13-arm of 11-girl . 14-glass on 11-girl . 14-glass on 5-face . 2-door behind 11-girl . 3-hair on 9-head . 4-hand of 11-girl . 5-face of 11-girl . 9-head of 11-girl 
0EwB4LT,11-clock above 3-sign . 11-clock has 13-number . 12-man has 7-head . 12-man on 2-sign . 13-number on 11-clock . 15-face on 3-sign . 4-letter on 2-sign . 6-person wearing 0-hat . 6-person wearing 5-shirt . 7-head of 12-man . 8-person wearing 10-glass . 8-person wearing 1-helmet . 9-logo on 11-clock 
0JM56ut,0-man has 11-mouth . 0-man has 1-nose . 0-man has 2-face . 0-man has 3-mouth . 0-man has 5-eye . 0-man has 6-mouth . 0-man has 7-hair . 0-man has 8-hair . 0-man wearing 9-shirt . 11-mouth of 0-man . 1-nose of 0-man . 2-face of 0-man . 3-mouth of 0-man . 4-sign behind 0-man . 5-eye of 0-man . 6-mouth of 0-man 
0Jzts4J,2-letter on 3-sign . 2-letter on 6-sign . 4-bird has 1-tail . 4-bird on 3-sign . 6-sign on 0-pole 
0N5ZKcH,0-man has 10-arm . 0-man has 11-hand . 0-man has 12-head . 0-man has 13-face . 0-man has 14-eye . 0-man has 15-finger . 0-man has 1-ear . 0-man has 2-nose . 0-man has 3-hair . 0-man has 4-mouth . 0-man has 5-finger . 0-man has 7-finger . 0-man has 8-neck . 0-man has 9-arm . 0-man wearing 6-shirt . 10-arm of 0-man . 11-hand of 0-man . 12-head of 0-man . 13-face of 0-man . 14-eye of 0-man . 15-finger of 0-man . 1-ear of 0-man . 2-nose of 0-man . 3-hair on 12-head . 4-mouth of 0-man . 5-finger of 0-man . 5-finger on 11-hand . 7-finger of 0-man . 8-neck of 0-man 
0nF9BpI,12-sign behind 1-man . 13-face of 4-woman . 14-plant behind 3-man . 15-sign behind 3-man . 1-man has 11-hair . 1-man wearing 0-tie . 1-man wearing 10-jacket . 1-man wearing 8-shirt . 3-man has 6-hair . 3-man wearing 2-tie . 3-man wearing 7-shirt . 4-woman has 13-face . 4-woman has 5-hair . 4-woman wearing 9-shirt . 8-shirt under 10-jacket 
0P5i3yI,10-letter on 1-sign . 11-letter on 0-sign . 12-number on 0-sign . 2-letter on 1-sign . 3-number on 1-sign . 4-letter on 0-sign . 5-sign on 1-sign . 6-letter on 0-sign . 7-letter on 0-sign . 8-letter on 1-sign . 9-letter on 1-sign . 9-letter on 5-sign 
0SvkQMd,0-glass on 5-man . 0-glass on 9-face . 10-nose of 5-man . 10-nose on 9-face . 11-mouth of 8-woman . 12-head of 8-woman . 13-letter on 2-sign . 5-man has 10-nose . 5-man has 3-hair . 5-man has 9-face . 5-man wearing 0-glass . 8-woman has 11-mouth . 8-woman has 12-head . 8-woman has 15-neck . 8-woman has 7-hair . 8-woman wearing 14-shirt . 9-face of 5-man 
0Te3Qys, 0-paper .  1-bag .  2-light .  3-paper 
0UQh5Eo,1-letter on 0-sign . 2-letter on 0-sign . 3-number on 0-sign . 4-letter on 0-sign . 5-letter on 0-sign . 6-sign above 0-sign . 7-letter on 0-sign 
0vqvDs5,0-man near 1-woman . 1-woman near 0-man 
0WBXRH9,11-logo on 3-kite . 12-logo on 15-logo . 12-logo on 9-sign . 13-logo on 3-kite . 15-logo on 9-sign . 3-kite has 13-logo 
12XLnzK,0-tie near 13-neck . 0-tie on 3-man . 10-mouth of 3-man . 11-nose of 3-man . 11-nose of 8-man . 12-sign behind 3-man . 14-mouth of 3-man . 14-mouth of 8-man . 2-glass on 3-man . 2-glass on 7-face . 3-man has 10-mouth . 3-man has 11-nose . 3-man has 13-neck . 3-man has 14-mouth . 3-man has 15-hair . 3-man has 5-nose . 3-man has 6-hair . 3-man has 7-face . 3-man wearing 0-tie . 3-man wearing 1-tie . 3-man wearing 2-glass . 3-man wearing 4-shirt . 5-nose of 3-man . 7-face of 3-man . 8-man has 11-nose . 8-man has 15-hair . 8-man wearing 1-tie . 8-man wearing 9-shirt 
16vTnwg,10-woman has 9-head . 11-woman has 8-hair . 13-man wearing 5-shirt . 6-man wearing 12-shirt 
1BeUIMs,10-letter on 5-sign . 11-letter on 0-sign . 14-letter on 0-sign . 15-letter on 5-sign . 2-letter on 0-sign . 4-letter on 0-sign . 6-letter on 0-sign . 7-letter on 0-sign . 9-letter on 0-sign 
