filename,scene_graph
05nBEvh,0-tie near 11-neck .  0-tie near 7-neck .  0-tie on 1-man .  10-hand of 1-man .  1-man has 10-hand .  1-man has 11-neck .  1-man has 2-hair .  1-man has 4-face .  1-man has 5-hand .  1-man has 7-neck .  1-man wearing 0-tie .  1-man wearing 3-shirt .  1-man wearing 8-jacket .  5-hand of 1-man 
0bOKK62,11-girl has 13-arm .  11-girl has 3-hair .  11-girl has 4-hand .  11-girl has 5-face .  11-girl has 9-head .  11-girl wearing 7-jacket .  13-arm of 11-girl .  3-hair on 9-head .  4-hand of 11-girl .  5-face of 11-girl .  9-head of 11-girl 
0EwB4LT,12-man has 7-head .  4-letter on 2-sign .  7-head of 12-man 
0JM56ut,0-man has 1-nose .  0-man has 2-face .  0-man has 5-eye .  0-man has 6-mouth .  0-man has 8-hair .  0-man wearing 9-shirt .  1-nose of 0-man .  2-face of 0-man .  5-eye of 0-man .  6-mouth of 0-man 
0Jzts4J,line.  arrow.   2-letter 
0N5ZKcH,0-man has 10-arm .  0-man has 11-hand .  0-man has 12-head .  0-man has 13-face .  0-man has 14-eye .  0-man has 15-finger .  0-man has 1-ear .  0-man has 2-nose .  0-man has 3-hair .  0-man has 4-mouth .  0-man has 5-finger .  0-man has 7-finger .  0-man has 8-neck .  0-man has 9-arm .  10-arm of 0-man .  11-hand of 0-man .  12-head of 0-man .  13-face of 0-man .  14-eye of 0-man .  15-finger of 0-man .  1-ear of 0-man .  2-nose of 0-man .  3-hair on 12-head .  4-mouth of 0-man .  5-finger of 0-man .  5-finger on 11-hand .  7-finger of 0-man .  8-neck of 0-man 
0nF9BpI,12-sign behind 1-man .  13-face of 4-woman .  14-plant behind 3-man .  15-sign behind 3-man .  1-man has 11-hair .  1-man wearing 0-tie .  1-man wearing 10-jacket .  1-man wearing 8-shirt .  3-man has 6-hair .  3-man wearing 2-tie .  3-man wearing 7-shirt .  4-woman has 13-face .  4-woman has 5-hair .  4-woman wearing 9-shirt .  8-shirt under 10-jacket 
0SvkQMd,0-glass on 5-man .  0-glass on 9-face .  10-nose of 5-man .  10-nose on 9-face .  11-mouth of 8-woman .  12-head of 8-woman .  5-man has 10-nose .  5-man has 3-hair .  5-man has 9-face .  5-man wearing 0-glass .  8-woman has 11-mouth .  8-woman has 12-head .  8-woman has 15-neck .  8-woman has 7-hair .  8-woman wearing 14-shirt .  9-face of 5-man 
0Te3Qys,meme text
0UQh5Eo, 1-letter .   2-letter .   3-number .   5-letter .   6-sign .   7-letter 
